City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
154,Ribeira Grande,PT,38.5167,-28.7,58.6,75,100,17.43,overcast clouds
155,Lalas,GR,37.7167,21.7167,35.31,64,3,4.72,clear sky
156,Quatre Cocos,MU,-20.2078,57.7625,80.71,89,98,20.42,light rain
157,Dingle,PH,10.9995,122.6711,80.76,79,81,16.53,broken clouds
158,Port Hardy,CA,50.6996,-127.4199,45.75,93,75,13.8,broken clouds
159,Tessalit,ML,20.1986,1.0114,55.69,18,0,11.63,clear sky
160,Altay,CN,47.8667,88.1167,5.97,63,5,6.26,clear sky
161,Olafsvik,IS,64.8945,-23.7142,27.7,74,96,28.03,overcast clouds
162,Ridgecrest,US,35.6225,-117.6709,46.42,26,24,1.57,few clouds
163,Cookeville,US,36.1628,-85.5016,45.41,96,100,1.01,mist
164,Bon Accord,CA,53.8335,-113.4187,1.78,78,100,2.3,overcast clouds
165,Laguna,US,38.421,-121.4238,53.44,67,0,0.0,clear sky
166,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,47,75,15.66,broken clouds
167,Sao Filipe,CV,14.8961,-24.4956,72.52,77,0,8.75,clear sky
168,Mount Gambier,AU,-37.8333,140.7667,71.89,44,7,12.06,clear sky
169,Bredy,RU,52.4153,60.3411,20.03,83,100,11.68,overcast clouds
170,Tigre,AR,-34.426,-58.5796,74.21,86,75,8.05,broken clouds
171,Severo-Kurilsk,RU,50.6789,156.125,31.12,90,100,10.83,light snow
172,Talnakh,RU,69.4865,88.3972,-13.94,99,80,7.09,broken clouds
173,Teruel,ES,40.6667,-0.6667,39.16,58,73,4.61,broken clouds
174,Jiayuguan,CN,39.8167,98.3,17.04,37,70,5.55,broken clouds
175,Ketchikan,US,55.3422,-131.6461,46.38,93,100,12.66,heavy intensity rain
176,Wanning,CN,18.8003,110.3967,65.91,86,100,11.18,overcast clouds
177,Vanavara,RU,60.34,102.2797,11.5,93,100,8.9,light snow
178,Los Andes,CL,-32.8337,-70.5983,67.71,66,0,2.15,clear sky
179,Ugoofaaru,MV,5.6667,73.0,80.76,74,52,8.95,broken clouds
180,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.74,94,3,1.21,clear sky
181,Kirksville,US,40.1948,-92.5833,10.11,71,0,5.01,clear sky
182,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.47,97,98,5.75,overcast clouds
183,Korla,CN,41.7597,86.1469,26.19,44,100,7.56,overcast clouds
184,Provideniya,RU,64.3833,-173.3,2.77,58,8,23.31,clear sky
185,Udachnyy,RU,66.4167,112.4,-22.68,99,98,2.51,overcast clouds
186,Boguchany,RU,58.3814,97.4531,11.77,95,100,5.73,light snow
187,Walvis Bay,NA,-22.9575,14.5053,66.09,80,4,9.28,clear sky
188,Saint George,US,37.1041,-113.5841,40.42,31,0,5.01,clear sky
189,Desoto,US,32.5899,-96.8569,22.26,84,100,3.0,overcast clouds
190,Bengkulu,ID,-3.8004,102.2655,79.25,80,98,2.98,overcast clouds
191,Hailar,CN,49.2,119.7,-9.81,86,20,4.68,few clouds
192,Tevriz,RU,57.509,72.4042,24.48,95,100,11.54,snow
193,El Alto,PE,-4.2714,-81.2147,70.27,80,59,13.82,broken clouds
194,Berdigestyakh,RU,62.0989,126.6992,-16.1,94,99,5.75,overcast clouds
195,Puerto Madryn,AR,-42.7692,-65.0385,71.82,52,100,16.06,overcast clouds
196,Faanui,PF,-16.4833,-151.75,81.28,70,1,15.12,clear sky
197,Vagur,FO,61.4732,-6.8119,37.08,69,88,42.1,overcast clouds
198,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,61,100,13.8,overcast clouds
199,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,18.92,clear sky
200,Rawlins,US,41.7911,-107.2387,17.82,48,0,11.5,clear sky
201,Inirida,CO,3.8653,-67.9239,72.82,91,43,2.08,scattered clouds
202,Norman Wells,CA,65.282,-126.8329,-43.56,66,0,0.0,clear sky
203,Codrington,AU,-38.2667,141.9667,67.28,59,77,14.92,broken clouds
204,Roebourne,AU,-20.7833,117.1333,92.79,42,74,12.24,broken clouds
205,Yulara,AU,-25.2406,130.9889,80.44,26,84,14.97,broken clouds
206,Qaqortoq,GL,60.7167,-46.0333,25.3,96,100,12.44,snow
207,Ongandjera,NA,-17.8833,15.0667,70.45,48,51,8.9,broken clouds
208,Port Moresby,PG,-9.4431,147.1797,87.58,59,92,13.38,overcast clouds
209,Sangar,RU,63.9242,127.4739,-21.41,96,98,3.38,overcast clouds
210,Geraldton,AU,-28.7667,114.6,108.01,9,0,10.36,clear sky
211,Dryden,CA,49.7833,-92.7503,-9.11,70,100,6.91,overcast clouds
